,page,/find-a-job,/universal-credit,/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,max,median,mean,min
4457,/guidance/national-insurance-for-workers-from-the-uk-working-in-the-eea-or-switzerland,0.673489,0.7255527,0.7226662,0.7255527,0.7226662,0.707236,0.673489
4458,/right-to-acquire-buying-housing-association-home/your-landlords-offer,0.68154,0.7254948,0.71124554,0.7254948,0.71124554,0.7060935,0.68154
4459,/government/publications/redundancy-payments-rp1-fact-sheet,0.7071721,0.72548217,0.71191585,0.72548217,0.71191585,0.7148567,0.7071721
4460,/claim-tax-credits/working-hours,0.6734561,0.7254668,0.7067766,0.7254668,0.7067766,0.7018998,0.6734561
4461,/what-different-qualification-levels-mean,0.72536576,0.7060417,0.6978228,0.72536576,0.7060417,0.70974344,0.6978228
4462,/write-business-plan,0.66732985,0.72520494,0.7178502,0.72520494,0.7178502,0.70346165,0.66732985
4463,/government/publications/universal-credit-and-homeless-people/universal-credit-and-homeless-people-guide-for-supporting-organisations,0.6667375,0.72492415,0.71792287,0.72492415,0.71792287,0.70319486,0.6667375
4464,/expenses-and-benefits-public-transport/whats-exempt,0.72456986,0.6865677,0.7042379,0.72456986,0.7042379,0.70512515,0.6865677
4465,/browse/business/setting-up,0.6833215,0.72451174,0.7051736,0.72451174,0.7051736,0.70433563,0.6833215
4466,/service-manual/design/writing-for-user-interfaces,0.68112624,0.7244943,0.70282704,0.7244943,0.70282704,0.70281583,0.68112624
4467,/guidance/get-help-with-benefits-and-pensions-if-you-have-accessibility-needs,0.67048895,0.7244861,0.71050674,0.7244861,0.71050674,0.7018273,0.67048895
4468,/government/publications/workers-and-temporary-workers-guidance-for-sponsors-sponsor-a-minister-of-religion-or-religious-worker,0.68093854,0.72438425,0.7155992,0.72438425,0.7155992,0.706974,0.68093854
4469,/uk-benefits-abroad,0.7241056,0.66873616,0.6808988,0.7241056,0.6808988,0.6912468,0.66873616
4470,/government/publications/application-registration-card-arc-enquiry,0.7240485,0.68809384,0.7109727,0.7240485,0.7109727,0.707705,0.68809384
4471,/guidance/healthcare-in-portugal-including-madeira,0.6901238,0.7239646,0.7059702,0.7239646,0.7059702,0.7066862,0.6901238
4472,/government/publications/personal-information-use-in-borders-immigration-and-citizenship/borders-immigration-and-citizenship-privacy-information-notice,0.66388905,0.72389495,0.7149262,0.72389495,0.7149262,0.7009034,0.66388905
4473,/options-for-paying-off-your-debts,0.67149866,0.7238627,0.7092096,0.7238627,0.7092096,0.7015237,0.67149866
4474,/become-school-college-governor,0.6918819,0.7237381,0.703059,0.7237381,0.703059,0.70622635,0.6918819
4475,/guidance/coronavirus-covid-19-what-to-do-if-youre-self-employed-and-getting-less-work-or-no-work,0.66200256,0.72361547,0.71852183,0.72361547,0.71852183,0.70137995,0.66200256
4476,/child-benefit/how-to-claim,0.6642202,0.72104234,0.723429,0.723429,0.72104234,0.70289713,0.6642202
4477,/government/publications/groceries-code-training-providers/directory-of-gscop-training-providers,0.7221094,0.7197095,0.7233803,0.7233803,0.7221094,0.7217331,0.7197095
4478,/government/consultations/shaping-future-support-the-health-and-disability-green-paper/shaping-future-support-the-health-and-disability-green-paper,0.6914786,0.7231138,0.7112397,0.7231138,0.7112397,0.7086107,0.6914786
4479,/report-problem-criminal-record-certificate/dispute-a-mistake,0.6630164,0.72297204,0.7172868,0.72297204,0.7172868,0.70109177,0.6630164
4480,/foreign-travel-advice/philippines/entry-requirements,0.72293377,0.6849438,0.6845999,0.72293377,0.6849438,0.6974924,0.6845999
4481,/blind-persons-allowance/transfer-allowance,0.6623285,0.7228888,0.7168802,0.7228888,0.7168802,0.70069915,0.6623285
4482,/browse/abroad/passports,0.6642464,0.7228583,0.715302,0.7228583,0.715302,0.70080227,0.6642464
4483,/renewing-your-tax-credits-claim,0.6823745,0.7228524,0.6998964,0.7228524,0.6998964,0.7017078,0.6823745
4484,/education/further-education-provider-performance-measures,0.6649937,0.72283995,0.72279197,0.72283995,0.72279197,0.7035418,0.6649937
4485,/government/collections/check-it-out-oisc-on-social-media,0.7227863,0.69158506,0.71003044,0.7227863,0.71003044,0.70813394,0.69158506
4486,/tax-overpayments-and-underpayments/if-you-owe-tax,0.6632329,0.7227164,0.71638113,0.7227164,0.71638113,0.7007768,0.6632329
4487,/government/publications/apprenticeships-that-support-public-health-careers/apprenticeships-that-support-public-health-careers-november-2019-update,0.665456,0.7225828,0.7210263,0.7225828,0.7210263,0.7030217,0.665456
4488,/government/organisations/hm-revenue-customs/contact/construction-industry-scheme,0.6693871,0.7225339,0.7081986,0.7225339,0.7081986,0.70003986,0.6693871
4489,/guidance/set-up-and-run-a-limited-partnership,0.6634651,0.72251475,0.7203228,0.72251475,0.7203228,0.70210093,0.6634651
4490,/government/publications/top-10-reasons-for-failing-the-driving-test,0.6851636,0.71943116,0.72247565,0.72247565,0.71943116,0.7090235,0.6851636
4491,/government/publications/claim-for-loss-of-notice-factsheet-rp2,0.6611081,0.72242326,0.7160086,0.72242326,0.7160086,0.6998467,0.6611081
4492,/jobsearch,0.66391265,0.7221643,0.7147956,0.7221643,0.7147956,0.70029086,0.66391265
4493,/child-adoption/birth-parents-your-rights,0.6632796,0.72215956,0.720835,0.72215956,0.720835,0.7020914,0.6632796
4494,/government/publications/application-for-asylum-support-form-asf1,0.6764804,0.7111368,0.7221439,0.7221439,0.7111368,0.70325375,0.6764804
4495,/child-benefit-child-lives-with-someone-else,0.68216443,0.70169187,0.72210264,0.72210264,0.70169187,0.7019863,0.68216443
4496,/government/collections/apprenticeship-changes,0.6638729,0.722089,0.7141448,0.722089,0.7141448,0.7000356,0.6638729
4497,/government/publications/ask-the-adjudicators-office-to-investigate-a-complaint-or-review-a-decision,0.66253203,0.7220188,0.72124654,0.7220188,0.72124654,0.70193243,0.66253203
4498,/government/publications/national-insurance-contributions-for-under-25s-employer-guide,0.66422886,0.7220045,0.7098869,0.7220045,0.7098869,0.6987068,0.66422886
4499,/mot-lorry-bus-trailer,0.67490244,0.7219722,0.7075698,0.7219722,0.7075698,0.7014815,0.67490244
4500,/apply-home-office-travel-document/one-way-travel-document,0.7215396,0.6961689,0.70796037,0.7215396,0.70796037,0.70855635,0.6961689
4501,/government/publications/armed-forces-corporate-covenant-signed-pledges-part-3,0.6600832,0.72149336,0.7103682,0.72149336,0.7103682,0.6973149,0.6600832
4502,/government/publications/germany-list-of-funeral-directors,0.6610548,0.72144777,0.71595484,0.72144777,0.71595484,0.6994858,0.6610548
4503,/british-national-overseas-bno-visa/documents-youll-need-to-apply,0.6634007,0.72137666,0.7114026,0.72137666,0.7114026,0.69872665,0.6634007
4504,/guidance/employee-shareholders,0.7213428,0.67569935,0.6931294,0.7213428,0.6931294,0.6967239,0.67569935
4505,/register-to-vote-armed-forces,0.67879874,0.72119623,0.69982606,0.72119623,0.69982606,0.6999404,0.67879874
4506,/browse/education/school-life,0.72111404,0.66293836,0.66485566,0.72111404,0.66485566,0.68296933,0.66293836
4507,/data-requests-dvla,0.6622127,0.7210278,0.7168973,0.7210278,0.7168973,0.7000459,0.6622127
4508,/skilled-worker-visa/when-you-can-be-paid-less,0.66133386,0.7208764,0.7165712,0.7208764,0.7165712,0.69959384,0.66133386
4509,/new-employee-tax-code,0.66755116,0.72080064,0.70688266,0.72080064,0.70688266,0.69841146,0.66755116
4510,/hmrc-internal-manuals/apprenticeship-levy/alm12050,0.7206396,0.66553706,0.6738912,0.7206396,0.6738912,0.6866892,0.66553706
4511,/guardians-allowance/what-youll-get,0.6804333,0.7180018,0.72062707,0.72062707,0.7180018,0.7063541,0.6804333
4512,/international-development-funding,0.6633491,0.71601725,0.7206164,0.7206164,0.71601725,0.69999427,0.6633491
4513,/child-benefit/make-a-change-to-your-claim,0.70529455,0.7006264,0.7206087,0.7206087,0.70529455,0.70884323,0.7006264
4514,/government/publications/fcdo-commercial-pipeline-august-2021-to-august-2024,0.6638097,0.7205043,0.714328,0.7205043,0.714328,0.69954735,0.6638097
4515,/claim-benefits-abroad/where-you-can-claim-benefits,0.663692,0.72040796,0.70806575,0.72040796,0.70806575,0.6973886,0.663692
4516,/business-finance-support/big-issue-invest-uk,0.66253424,0.7140528,0.72038496,0.72038496,0.7140528,0.69899064,0.66253424
4517,/government/collections/tax-credits-forms-notes-worksheets-and-checklists,0.7203723,0.670094,0.68583167,0.7203723,0.68583167,0.69209933,0.670094
4518,/check-british-citizenship/born-in-the-uk-on-30-april-2006-onwards,0.65974826,0.720345,0.70809174,0.720345,0.70809174,0.6960617,0.65974826
4519,/government/publications/complaints-about-dwp-financial-year-2020-to-2021/complaints-about-dwp-financial-year-2020-to-2021,0.6841403,0.7201609,0.7197921,0.7201609,0.7197921,0.7080311,0.6841403
4520,/tax-overpayments-and-underpayments/if-youre-due-a-refund,0.6607167,0.71994084,0.70982236,0.71994084,0.70982236,0.69682664,0.6607167
4521,/childcare-grant/eligibility,0.71556115,0.69477713,0.7195442,0.7195442,0.71556115,0.70996076,0.69477713
4522,/government/publications/replacement-hgv-plating-and-testing-documents-application-form-vtg59,0.7194783,0.6828403,0.70508754,0.7194783,0.70508754,0.7024687,0.6828403
4523,/government/collections/fraud-and-error-in-the-benefit-system,0.65834177,0.7194709,0.7160568,0.7194709,0.7160568,0.6979565,0.65834177
4524,/government/statistical-data-sets/dbs-freedom-of-information-log-2019,0.6895953,0.71941245,0.70686185,0.71941245,0.70686185,0.70528984,0.6895953
4525,/government/organisations/ministry-of-defence,0.66126966,0.71934813,0.7094082,0.71934813,0.7094082,0.69667536,0.66126966
4526,/government/publications/ask-for-a-hearing-to-be-adjourned-birmingham-form-ac001,0.6667035,0.71914977,0.70886993,0.71914977,0.70886993,0.69824106,0.6667035
4527,/government/publications/complaints-about-post-16-education-and-training-provision-funded-by-esfa,0.66778976,0.7032944,0.71912074,0.71912074,0.7032944,0.69673496,0.66778976
