page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/family-permit/apply-joining-family-member-eu-switzerland-norway-iceland-liechtenstein,guide,services,31,6,1,0,2,
/topic/climate-change-energy/energy-prices-bills,topic,other,2,0,0,0,2,
/guidance/working-in-england-if-you-are-a-senior-executive-bringing-significant-economic-benefit-to-the-uk,detailed_guide,guidance and regulation,1,0,0,0,2,
/foreign-travel-advice/canada/coronavirus,travel_advice,guidance and regulation,3,1,0,0,2,
/growing-your-business/increase-sales-to-existing-customers,guide,services,2,0,0,0,2,
/care-to-learn/what-youll-get,guide,services,4,0,0,0,2,
/government/publications/set-up-or-cancel-a-dart-charge-account-by-post,form,services,1,0,0,0,2,
/government/publications/health-and-care-visa-guidance-for-applicants,guidance,guidance and regulation,16,0,0,0,2,
/county-court-judgments-ccj-for-debt/ccjs-and-your-credit-rating,guide,services,3,0,1,1,2,
/flexible-working/types-of-flexible-working,guide,services,60,6,3,1,2,
/government/publications/hmpo-privacy-information-notice,guidance,guidance and regulation,1,0,0,0,2,
/foreign-travel-advice/jamaica/entry-requirements,travel_advice,guidance and regulation,2,0,1,0,2,
/foreign-travel-advice/greece/coronavirus,travel_advice,guidance and regulation,6,0,0,0,2,
/government/publications/a-guide-to-apprenticeships-for-the-school-workforce,guidance,guidance and regulation,6,1,2,0,2,
/renounce-british-nationality,guide,services,8,0,0,0,2,
/apply-home-office-travel-document/how-to-apply,guide,services,9,3,0,0,2,
/government/publications/public-list-of-active-trade-unions-official-list-and-schedule/trade-unions-the-current-list-and-schedule,html_publication,other,8,1,1,0,2,
/guidance/managing-candidates-through-pre-employment-checks-vx,detailed_guide,guidance and regulation,16,10,3,0,2,
/tax-sell-shares,guide,services,5,0,1,0,2,
/reduced-earnings-allowance/how-to-claim,guide,services,2,0,0,0,2,
/government/publications/covid-19-response-spring-2021/covid-19-response-spring-2021-summary,html_publication,other,4,2,0,1,2,
/guidance/living-in-ireland,detailed_guide,guidance and regulation,7,2,1,0,2,
/world/nigeria,taxon,other,3,0,1,0,2,
/government/organisations/investors-in-people-uk,organisation,other,1,0,0,0,2,
/private-renting/houses-in-multiple-occupation,guide,services,2,0,0,0,2,
/employment-agencies-and-businesses,guide,services,6,2,1,0,2,
/guidance/childminders-and-childcare-providers-register-with-ofsted/registration-requirements,manual,guidance and regulation,1,0,0,0,2,
/apply-for-sheltered-housing,local_transaction,services,10,2,1,0,2,
/government/publications/statutory-sick-pay-tables-for-linking-periods-of-incapacity-for-work,guidance,guidance and regulation,3,0,0,0,2,
/guidance/apply-to-register-as-a-childminder,detailed_guide,guidance and regulation,4,1,0,0,2,
/government/publications/tax-credits-renewal-pack-notes,guidance,guidance and regulation,2,0,0,0,2,
/government/organisations/hm-prison-service/about/recruitment,recruitment,other,13,3,9,1,2,
/staff-redundant/compulsory-redundancy,guide,services,15,1,0,0,2,
/valuing-estate-of-someone-who-died/estimate-estate-value,guide,services,4,0,0,0,2,
/topic/immigration-operational-guidance/entry-clearance-guidance,topic,other,9,0,0,0,2,
/government/publications/personal-licence-application--2,form,services,35,6,13,1,2,
/government/organisations/hm-revenue-customs/contact/employer-paye-payment,contact,other,4,0,1,0,2,
/hmrc-internal-manuals/national-insurance-manual/nim39210,hmrc_manual,guidance and regulation,1,0,0,0,2,
/government/publications/government-baseline-personnel-security-standard,guidance,guidance and regulation,22,3,11,2,2,
/change-name-deed-poll/change-a-childs-name,guide,services,7,1,1,0,2,
/government/publications/first-tier-tribunal-property-chamber-residential-property-hearing-lists,guidance,guidance and regulation,1,0,0,0,2,
/foreign-travel-advice/netherlands/travel-advice-help-and-support,travel_advice,guidance and regulation,2,0,0,0,2,
/apply-dropped-kerb,local_transaction,services,2,0,1,0,2,
/government/publications/filtering-rules-for-criminal-record-check-certificates,guidance,guidance and regulation,15,1,1,0,2,
