page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/government/publications/skilled-worker-visa-going-rates-for-eligible-occupations/skilled-worker-visa-going-rates-for-eligible-occupation-codes,html_publication,other,52,10,4,0,5.0
/government/publications/skilled-worker-visa-shortage-occupations-for-health-and-education,guidance,guidance and regulation,48,1,1,0,5.0
/claim-benefits-abroad/jobseekers-allowance,guide,services,33,4,8,0,5.0
/power-of-attorney/make-lasting-power,guide,services,9,3,0,0,5.0
/government/publications/access-our-services-using-government-gateway/use-a-government-gateway-account,html_publication,other,13,0,2,0,5.0
/disability-living-allowance-children/how-to-claim,guide,services,21,8,4,0,5.0
/government/publications/introduction-of-t-levels/introduction-of-t-levels,html_publication,other,19,5,8,0,5.0
/find-a-regulated-qualification,transaction,services,30,3,3,0,5.0
/uk-visa-sponsorship-employers/certificates-of-sponsorship,guide,services,26,2,3,0,5.0
/mandatory-reconsideration/if-you-disagree-with-the-outcome,guide,services,19,1,0,0,5.0
/tax-foreign-income,guide,services,13,0,1,0,5.0
/excessive-sleepiness-and-driving,answer,services,2,0,0,0,5.0
/dismissal/reasons-you-can-be-dismissed,guide,services,129,18,21,3,5.0
/guidance/welcome-a-guide-for-hong-kong-british-national-overseas-visa-holders-in-the-uk.zh-hk,detailed_guide,guidance and regulation,18,1,7,4,5.0
/types-of-british-nationality/british-subject,guide,services,10,2,0,0,5.0
/handing-in-your-notice/payment-during-your-notice-period,guide,services,38,2,1,0,5.0
/get-a-passport-urgently/1-week-fast-track-service,guide,services,42,11,2,0,5.0
/government/organisations/hm-revenue-customs/contact/construction-industry-scheme,contact,other,5,1,0,0,5.0
/guidance/check-if-your-retail-hospitality-or-leisure-business-is-eligible-for-business-rates-relief-due-to-coronavirus-covid-19,detailed_guide,guidance and regulation,2,0,0,0,5.0
/changing-passport-information,guide,services,35,4,2,0,5.0
/government/publications/operational-low-flying-training-timetable/operational-low-flying-training-timetable-16-to-20-august-2021,html_publication,other,9,1,1,0,5.0
/manage-child-maintenance-case/contact,guide,services,12,2,2,0,5.0
/government/publications/dbs-update-service-employer-guide/dbs-update-service-employer-guide,html_publication,other,66,27,3,0,5.0
/government/organisations/civil-service/about/recruitment,recruitment,other,54,24,9,0,5.0
/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk,manual,guidance and regulation,16,2,0,0,5.0
/student-finance/extra-help,guide,services,64,3,2,1,4.0
/government/collections/state-pension-toolkit,document_collection,other,16,2,0,0,4.0
/war-pension-armed-forces-compensation-tribunal,guide,services,15,2,0,0,4.0
/government/publications/redundancy-payments-rp1-fact-sheet,guidance,guidance and regulation,21,4,1,0,4.0
/making-child-maintenance-arrangement,guide,services,24,5,0,0,4.0
/child-adoption,guide,services,16,0,1,0,4.0
/make-a-freedom-of-information-request,guide,services,13,0,1,0,4.0
/government/publications/employing-disabled-people-and-people-with-health-conditions,guidance,guidance and regulation,15,1,1,0,4.0
/married-couples-allowance/further-information,guide,services,2,0,0,0,4.0
/browse/driving/vehicle-and-driver-information,mainstream_browse_page,other,22,2,0,0,4.0
/global-health-insurance-card,answer,services,9,2,2,0,4.0
/employment-support-allowance/working-while-you-claim,guide,services,307,25,16,0,4.0
/browse/housing-local-services/noise-neighbours,mainstream_browse_page,other,9,1,0,0,4.0
/guidance/redundancy-support-for-apprentices,detailed_guide,guidance and regulation,44,13,25,2,4.0
/set-up-business-partnership,guide,services,13,0,0,0,4.0
/government/publications/universal-credit-and-your-family-quick-guide/universal-credit-further-information-for-families,html_publication,other,12,3,6,1,4.0
/parental-leave/entitlement,guide,services,47,4,9,2,4.0
/government/publications/sector-based-work-academies-employer-guide/sector-based-work-academies-employer-guide,html_publication,other,12,4,1,0,4.0
/government/publications/paye-draft-forms-p60-2019-to-2020,guidance,guidance and regulation,2,0,0,0,4.0
/register-birth,guide,services,28,2,3,4,4.0
/simpler-income-tax-simplified-expenses/working-from-home,guide,services,7,0,3,1,4.0
/raise-grievance-at-work,guide,services,44,7,1,0,4.0
/buy-sell-your-home,guide,services,12,0,1,0,4.0
/guidance/find-out-if-you-require-an-atas-certificate,detailed_guide,guidance and regulation,5,0,0,0,4.0
/types-of-british-nationality/british-overseas-citizen,guide,services,17,0,0,0,4.0
/state-pension-if-you-retire-abroad/report-a-change-in-your-circumstances,guide,services,69,9,2,0,4.0
/welfare/disability,taxon,other,15,1,0,0,4.0
/healthcare-immigration-application,guide,services,39,5,6,2,4.0
/government/publications/safeguarding-factsheet-community-volunteers-during-covid-19-outbreak/safeguarding-and-dbs-factsheet-faqs,html_publication,other,7,2,1,0,4.0
/government/organisations/hm-revenue-customs/contact/report-fraud-to-hmrc,contact,other,14,3,5,0,4.0
/how-to-register-a-trade-mark,guide,services,15,0,0,0,4.0
/government/organisations/animal-and-plant-health-agency/about/access-and-opening,access_and_opening,other,4,0,1,0,4.0
/browse/justice/prisons-probation,mainstream_browse_page,other,24,0,0,0,4.0
/government/publications/covid-19-and-renting-guidance-for-landlords-tenants-and-local-authorities/coronavirus-covid-19-guidance-for-landlords-and-tenants,html_publication,other,8,2,1,0,4.0
/bringing-cash-into-uk,answer,services,17,1,1,0,4.0
/government/publications/criminal-records-checks-for-overseas-applicants/countries-a-to-f-applying-for-a-criminal-records-check-for-someone-from-overseas,html_publication,other,34,7,2,0,4.0
/foreign-travel-advice/italy/entry-requirements,travel_advice,guidance and regulation,16,7,4,0,4.0
/government/organisations/insolvency-service,organisation,other,14,2,1,0,4.0
/extra-money-pay-university/university-and-college-hardship-funds,guide,services,18,4,0,0,4.0
/rent-room-in-your-home,guide,services,17,0,1,0,4.0
/student-finance-for-existing-students,answer,services,2,0,0,0,4.0
/housing-benefit/supporting-your-claim,guide,services,20,3,0,0,4.0
/government/publications/handling-applications-for-permission-to-take-employment-instruction,guidance,guidance and regulation,29,2,11,2,4.0
/government/publications/apprenticeship-technical-funding-guide,guidance,guidance and regulation,57,14,0,0,4.0
/guidance/immigration-rules/immigration-rules-appendix-skilled-worker,manual,guidance and regulation,11,2,0,0,4.0
/derivative-right-residence,guide,services,6,0,0,0,4.0
/renounce-british-nationality,guide,services,8,0,0,0,4.0
/employers-maternity-pay-leave/refuse-pay-form-smp1,guide,services,17,2,2,0,4.0
/government/publications/how-the-deductions-from-benefit-scheme-works-a-handbook-for-creditors/universal-credit-third-party-payments-creditor-and-supplier-handbook,html_publication,other,5,1,2,0,4.0
/after-a-death/arrange-the-funeral,guide,services,7,1,0,0,4.0
/licence-finder,transaction,services,11,0,1,0,4.0
/government/publications/universal-credit-and-you,guidance,guidance and regulation,7,2,1,0,4.0
/foreign-travel-advice/greece/entry-requirements,travel_advice,guidance and regulation,22,4,3,0,4.0
